Substrate,Products,Kinetic Law,Modifiers,Parameters
RelAp52IkBdNIK,RelAp52IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
RelAp50IkBdNIK,RelAp50 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
RelBp50IkBdNIK,RelBp50 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
RelBp52IkBdNIK,RelBp52 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
cRelp50IkBdNIK,cRelp50 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
cRelp52IkBdNIK,cRelp52 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
RelAp52IkBdNIK,RelAp52 NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
RelAp50IkBdNIK,RelAp50IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
RelBp50IkBdNIK,RelBp50IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
RelBp52IkBdNIK,RelBp52IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
cRelp50IkBdNIK,cRelp50IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
cRelp52IkBdNIK,cRelp52IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
RelAp52IkBdNIK,RelAp52IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
IkBdNIK,IkBd,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
p100NIK,p100,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
RelAp50IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
RelBp50IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
RelBp52IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
cRelp50IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
cRelp52IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
RelAp52IkBdNIK,IkBdNIK,Mass Action,,k1_NFkBDeg-NFkB
RelAp50IkBdNIK,RelAp50 NIK,Mass Action,,k1_IkBDeg-NFkB
RelBp50IkBdNIK,RelBp50 NIK,Mass Action,,k1_IkBDeg-NFkB
